"id","titulo","categ","operacion","tipo_inmueble","precio","moneda","condicion","barrio","departamento","direccion","zip","lat","long","terraza","baulera","biblio","cocina","comedor","depserv","dormsuite","entrepiso","escritorio","estar","lavadero","livingcomedor","living","patio","playroom","toilette","vestidor","aircond","calefacc","tenis","asc_serv","estacionam_cortesia","gym","guarderia","internet","jardin","kitchenette","lavadero_2","losa_rad","parrillero","piscina","sala_reuniones","spa","salon_comunal","seguridad","jacuzzi","tipo_inmueble_2","operacion_2","amoblado","banos","ap_ppiso","dormitorios","tipo_edif","estado","expensas","luminosidad","sup_constru","sup_terr","orientacion","antiguedad","altillo","bodega","galeria","sotano","alarma","futbol","estufa_lena","porton_electr","garage","tipo_ubicacion","num_plantas","agua_corr","gas_caneria","luz_electr","acceso","disposicion","horario_contacto","apto_profesional","condicion_2","aircond_pamb","calefacc_pamb","estacionamiento","mascotas","ambientes","ascensores","capacidad_personas","pisos_edificio","casco","casa_casero","antig_casco","estado_casco","galpones","tanque_agua","desag_cloaca","pavimento","alarma_2","deposito","sist_incendio","vestuario","localizacion_local","balcon","comedor_diario","bar","caja_seg","golf","paddle","pileta","sauna","solarium","salon_comunal_2","quincho","basquet","volley","hogar_lena","salamandra","vigilancia","sup_contru_2","amb_casco","recepcion","cobertura_techo","tipo_cochera","mes","dia","ano","fuente"
"MLU451053164","Muy Buen Apto. C<f3>modo Y Luminoso.","MLU1474","Venta","Apartamentos",137000,"USD","used","Capurro","Montevideo","URUGUAYANA Y Br ARTIGAS 0000",NA,NA,NA,"S<ed>","No","No","S<ed>","No","No","No","No","No","No","S<ed>","S<ed>","No","No","No","No","No","S<ed>","No","No","No","S<ed>","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Apartamentos","Venta",NA,"1","3","3","Departamento",NA,"2400","Muy buena",72,72,NA,"M<e1>s de 40 a<f1>os",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU447777674","Golf!! Vista Mar!: Muebles.hogar.parr.serv.gjex2!!","MLU1474","Venta","Apartamentos",8e+05,"USD","used","Montevideo","Montevideo","GOLF!! VISTA MAR!: MUEBLES.HOGAR.PARR.SERV.GJEX2!! 0000",NA,NA,NA,"S<ed>","No","No","S<ed>","S<ed>","S<ed>","S<ed>","No","No","S<ed>","S<ed>","No","S<ed>","No","No","S<ed>","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Apartamentos","Venta","No","3",NA,"3","Departamento","Excelente","17639","Muy buena",250,250,"Frente","Max 30 a<f1>os",NA,NA,NA,NA,NA,NA,NA,NA,"S<ed>","Otro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU450530060","Dos Dormitorios Y Garaje En Punta Carretas","MLU1474","Venta","Apartamentos",230000,"USD","not_specified","Pocitos","Montevideo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apartamentos","Venta",NA,"2",NA,"2","Apartamento",NA,NA,NA,71,71,NA,"1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU447432327","Planta Industrial; Marcos Sastre Y Veracierto","MLU1483","Venta","Locales",750000,"USD","used","Maro<f1>as","Montevideo","Planta Industrial; MARCOS SASTRE Y VERACIERTO 0000",NA,NA,NA,NA,NA,NA,"S<ed>",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Locales","Venta",NA,"4",NA,NA,NA,"Muy bueno",NA,"Buena",1929,4469,NA,"M<e1>s de 40 a<f1>os",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"1","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","A la calle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU447922658","Ed. White Site - Rambla O<U+00B4>higgins Y Estr<e1>zulas","MLU1474","Venta","Apartamentos",305000,"USD","used","Malvin","Montevideo","ED. WHITE SITE - RAMBLA O<U+00B4>HIGGINS Y ESTR<c1>ZULAS 0000",NA,NA,NA,"S<ed>","No","No","S<ed>","No","No","S<ed>","No","No","No","S<ed>","S<ed>","No","No","No","No","No","No","S<ed>","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Apartamentos","Venta",NA,"3",NA,"2","Penthouse","Excelente","10000","Buena",122,122,NA,"Max 10 a<f1>os",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU445361653","Hermoso Apto En Venta 150m2 Mas 17m2 De Tza","MLU1474","Venta","Apartamentos",350000,"USD","used","Pocitos","Montevideo","Guayaqui 0000",NA,NA,NA,"S<ed>","No","No","S<ed>","S<ed>","S<ed>","S<ed>","No","S<ed>","S<ed>","S<ed>","S<ed>","S<ed>","No","No","S<ed>","No","No","No","No","S<ed>","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Apartamentos","Venta",NA,"4",NA,"M<e1>s de 4","Departamento",NA,"18000",NA,150,3000,NA,"Max 40 a<f1>os",NA,NA,NA,NA,NA,NA,NA,NA,"S<ed>",NA,NA,NA,NA,NA,NA,NA,"10 a 20",NA,"Usado","No","No",NA,NA,"M<e1>s de 4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU451279088","Apto De 1 Dorm Con Renta De $16.000!!!","MLU1474","Venta","Apartamentos",90000,"USD","used","Cord<f3>n","Montevideo","Mercedes esq Gaboto 0000",NA,NA,NA,"S<ed>","No","No","S<ed>","No","No","No","No","No","No","No","S<ed>","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Apartamentos","Venta","No","1",NA,"1","Departamento","Bueno","800","Buena",40,40,"Frente","Max 30 a<f1>os",NA,NA,NA,NA,NA,NA,NA,NA,"No","Sobre calle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No tiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU449574298","Frente A La Rambla! Pb Con Patio Y Cochera. Gc $7.000","MLU1474","Venta","Apartamentos",340200,"USD","used","Malvin","Montevideo","Mississipi esq Rambla O<U+00B4>Higgins 0",NA,NA,NA,"No","No","No","S<ed>","No","No","S<ed>","No","No","No","S<ed>","S<ed>","No","No","No","No","No","No","No","No","No","No","No","No","No","S<ed>","No","S<ed>","S<ed>","S<ed>","No","No","No","No","No","S<ed>","Apartamentos","Venta",NA,"2","6","2","Departamento","Excelente","7000","Muy buena",96,135,"Frente","A estrenar",NA,NA,NA,NA,NA,NA,NA,NA,"S<ed>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU448282762","Coraz<f3>n Del Cordon...18 Y Tacuaremb<f3>. Nostrum 18","MLU1474","Venta","Apartamentos",151396,"USD","used","Cord<f3>n","Montevideo","CORAZ<d3>N DEL CORDON...18 Y TACUAREMB<d3>. NOSTRUM 18 0000",NA,NA,NA,"No","No","No","S<ed>","No","No","No","No","No","No","S<ed>","No","No","No","No","No","No","S<ed>","No","No","No","No","No","No","No","S<ed>","No","No","No","S<ed>","No","No","No","S<ed>","No","No","Apartamentos","Venta","No","1",NA,"2","Departamento","Excelente",NA,"Buena",82,82,"Contrafrente","A estrenar",NA,NA,NA,NA,NA,NA,NA,NA,"No","Otro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU449348934","Ed Salentis Verdi - Verdi Y Donizetti A Estrenar","MLU1474","Venta","Apartamentos",135000,"USD","used","Buceo","Montevideo","Ed Salentis Verdi - Verdi y Donizetti A ESTRENAR a pasos del mar 0000",NA,NA,NA,"No","No","No","S<ed>","No","No","No","No","No","No","S<ed>","S<ed>","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","S<ed>","No","No","No","No","No","No","Apartamentos","Venta","No","1","4","1","Departamento","Excelente",NA,"Buena",44,44,"Contrafrente","A estrenar",NA,NA,NA,NA,NA,NA,NA,NA,"No","Otro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
